symbol_chr,RAS/CAS|L2FC,RAS/CAS|PValue,RAS/CAS|FDR,RAS/WT-O|L2FC,RAS/WT-O|PValue,RAS/WT-O|FDR,53KO/WT|L2FC,53KO/WT|PValue,53KO/WT|FDR,CAS/WT|L2FC,CAS/WT|Pvalue,CAS/WT|FDR
Npr3_chr15,0.03,0.443561796,0.686401394,-0.72,1,1,0.447579391,0.014082255,0.04161643,-0.754808226,0.49375014,0.727770232
Nprl2_chr9,0.15,0.45137064,0.696029041,-0.13,0.484246158,0.920186486,0.000346351,0.530416814,0.846068001,-0.283633752,0.147553754,0.25648087
Nprl3_chr11,-0.06,0.649528531,0.902058268,-0.16,0.628715471,1,-0.007839431,0.600497034,0.905510989,-0.100802874,0.349191673,0.538251276
Nps_chr7,-1.02,0.414823564,0.650506048,0.00,0.172665429,0.485290807,0,1,1,1.018392408,1,1
Npsr1_chr9,-0.49,0.022766399,0.053709381,0.00,1,1,0,1,1,0.491059823,0.059486671,0.113718041
Nptn_chr9,-0.54,0.001800485,0.005429961,0.36,0.186005863,0.50852789,0.708729916,0.007411968,0.02367429,0.899339932,1.01E-05,3.43E-05
Nptx1_chr11,2.65,3.83E-05,0.000154946,1.33,0.161202162,0.464235927,0.930122543,0.021579814,0.060282545,-1.322575823,0.011194783,0.024717733
Nptx2_chr5,-2.01,0.000123783,0.000462643,0.00,1,1,0,1,1,2.011500237,0.000976523,0.002553375
Nptxr_chr15,1.03,0.431657582,0.671600139,0.14,0.849132555,1,0.534217534,0.010228547,0.031439151,-0.886429495,0.344550152,0.533574034
Npvf_chr6,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Npw_chr17,-1.65,0.222839927,0.388880916,0.00,1,1,0,1,1,1.645107159,0.343201673,0.532693445
Npy_chr6,0.00,0.012884768,0.032372109,0.00,1,1,2.599502249,0.0827162,0.189821712,0,0.027691328,0.056605371
Npy1r_chr8,-3.49,0.001754028,0.00530086,1.01,0.001201064,0.010415198,3.815613398,1.61E-06,1.16E-05,4.502796578,4.74E-09,2.22E-08
Npy2r_chr3,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Npy5r_chr8,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Npy6r_chr18,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Nqo1_chr8,0.51,0.472597385,0.72276673,-0.20,0.631336107,1,-0.814565696,0.008502727,0.026692339,-0.71275089,0.232126076,0.382054533
Nqo2_chr13,2.35,4.9597E-32,3.0574E-30,-0.75,0.00087883,0.008020891,-1.387601243,6.60E-14,1.43E-12,-3.105538938,4.07E-48,2.98E-46
Nr0b1_chrX,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Nr0b2_chr4,1.59,1.0942E-10,9.0146E-10,-1.27,0.001416985,0.011857039,-2.867819502,6.23E-26,4.80E-24,-2.858131415,1.05E-20,1.17E-19
Nr1d1_chr11,3.72,9.2836E-44,1.1476E-41,0.80,3.87E-06,6.55E-05,-1.582571274,5.77E-06,3.76E-05,-2.913458887,4.76E-24,6.69E-23
Nr1d2_chr14,1.42,2.1613E-14,2.6025E-13,1.12,3.76E-10,1.33E-08,0.797046216,9.51E-07,7.17E-06,-0.296994185,0.157335793,0.271474039
Nr1h2_chr7,-0.56,0.037874335,0.084391135,0.07,0.995824181,1,-0.07802551,0.804936566,1,0.629834069,0.039148007,0.077667721
Nr1h3_chr2,1.46,3.4283E-11,2.9585E-10,-0.13,0.53499727,0.967642696,0.573330855,0.010895486,0.033264726,-1.583906986,5.64E-13,3.63E-12
Nr1h4_chr10,1.75,2.0342E-17,3.4232E-16,0.00,0.454506237,0.884731492,-0.200735651,0.835407986,1,-1.748996993,6.60E-15,4.94E-14
Nr1h5_chr3,3.69,2.4801E-10,1.9578E-09,1.69,0.007304295,0.045843883,0.929652401,0.001313574,0.005108344,-1.99387182,9.65E-05,0.000292804
Nr1i2_chr16,0.98,4.14E-08,2.52E-07,-0.15,0.397247032,0.811732556,-0.477582838,0.022593247,0.06271692,-1.123001375,3.16E-10,1.64E-09
Nr1i3_chr1,0.69,0.008731733,0.022752502,0.30,0.106425126,0.351162924,0.466900845,0.010373634,0.031851402,-0.38952754,0.310431839,0.49001127
Nr2c1_chr10,1.13,1.2548E-10,1.0279E-09,0.03,0.350350281,0.749807056,-0.729930844,0.000274306,0.001258612,-1.102389454,4.06E-08,1.75E-07
Nr2c2_chr6,0.05,0.567867738,0.810691457,0.68,0.187255678,0.510238242,-0.326063308,0.047178789,0.117681126,0.629343622,0.453721801,0.676142403
Nr2c2ap_chr8,0.10,0.388228396,0.615697278,-0.30,0.285683704,0.67077079,0.898608507,0.020140526,0.056831693,-0.399631219,0.0541593,0.104228399
Nr2e1_chr10,0.00,0.555264746,0.797485369,0.00,1,1,0,1,1,0,0.555264746,0.791452104
Nr2e3_chr9,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Nr2f1_chr13,-0.72,0.03687004,0.08246172,-0.41,0.472889858,0.907011569,1.096801346,9.18E-05,0.000465793,0.3079772,0.274037247,0.442357825
Nr2f2_chr7,1.17,2.1459E-11,1.9005E-10,0.11,0.455518718,0.885953218,0.264912691,0.333702839,0.593375749,-1.060813312,3.00E-09,1.42E-08
Nr2f6_chr8,1.26,4.1818E-12,3.9830E-11,-0.82,0.000575499,0.005531407,-0.814856279,1.32E-06,9.75E-06,-2.082397071,4.62E-24,6.48E-23
Nr3c1_chr18,0.63,0.004250698,0.011876654,-0.14,0.176263791,0.49128934,-0.45058105,0.026193744,0.071206294,-0.769774167,2.85E-05,9.21E-05
Nr3c2_chr8,2.48,1.8140E-08,1.1591E-07,-0.28,0.331642591,0.728898601,-2.432055044,0.001919428,0.007160112,-2.756288904,1.90E-10,9.98E-10
Nr4a1_chr15,-1.48,0.018080219,0.043732752,2.93,0.285990366,0.671363034,5.703718993,0.001174299,0.004613035,4.412025927,0.180107236,0.304657702
Nr4a2_chr2,0.06,0.26767866,0.453249695,1.83,0.220284233,0.569900454,0.832872939,0.076630005,0.178319948,1.768682812,0.026365609,0.054098324
Nr4a3_chr4,0.66,1,1,0.67,0.790962377,1,-1.502451638,0.539267579,0.854638945,0.016346644,1,1
Nr5a1_chr2,-1.65,0.223544294,0.389501379,0.00,1,1,0,1,1,1.645107159,0.343847973,0.532975682
Nr5a2_chr1,1.78,1.2849E-09,9.4138E-09,-0.54,0.029061553,0.135866122,-1.708989607,1.40E-06,1.03E-05,-2.315830418,1.79E-15,1.39E-14
Nr6a1_chr2,1.04,8.2394E-06,3.6973E-05,0.07,0.405493123,0.822452451,-0.534623315,0.048906425,0.121365224,-0.9717026,1.82E-07,7.36E-07
Nradd_chr9,-1.27,5.6981E-03,1.5545E-02,0.58,0.095192381,0.324617891,2.547336568,3.86E-09,4.34E-08,1.852544598,1.90E-05,6.27E-05
Nrap_chr19,1.37,7.39E-05,0.000285645,0.37,0.039738591,0.170850768,0.52136492,0.175490853,0.353476115,-1.000761524,0.070283349,0.132086773
Nrarp_chr2,-1.58,1.1852E-08,7.7569E-08,0.68,0.647042434,1,0.766857229,0.12129745,0.262179384,2.259026183,2.20E-09,1.06E-08
Nras_chr3,-0.32,0.046681165,0.101703411,0.45,0.155277607,0.453672513,0.545958515,0.007995838,0.025323424,0.776065679,0.00070283,0.001879173
Nrbf2_chr10,-0.06,0.931497586,1,-0.07,0.815182196,1,0.360872584,0.272758096,0.504452391,-0.009312692,0.748472238,1
Nrbp1_chr5,0.22,0.307929503,0.509235156,-0.17,0.21687556,0.564456854,-0.476167969,0.021367589,0.059742873,-0.391998734,0.024489935,0.050550323
Nrbp2_chr15,0.06,0.256848312,0.437910262,0.64,0.036844049,0.161893686,0.409190494,0.08376978,0.191769147,0.583330761,0.337283964,0.525226435
Nrcam_chr12,0.42,0.849269201,1,1.12,0.60236724,1,0,0.530266181,0.845995667,0.697214865,0.779092911,1
Nrd1_chr4,-0.13,0.6004077,0.847051232,-0.12,0.309961089,0.703810036,0.17888916,0.821803959,1,0.013044385,0.622633836,0.87080887
Nrf1_chr6,-0.60,0.001036282,0.003275734,-0.39,0.019767855,0.100945935,-0.043768232,0.711426836,1,0.202165121,0.360264241,0.552169159
Nrg1_chr8,-1.22,1.9129E-03,5.7376E-03,2.59,0.083934864,0.296907231,0.568275429,0.475232577,0.787704521,3.810016875,1.26E-05,4.23E-05
Nrg2_chr18,-1.80,0.000359247,0.001233767,1.42,0.29227462,0.679678123,0.406532697,0.231809673,0.443351872,3.22885988,6.00E-05,0.000186351
Nrg3_chr14,-1.02,0.551842887,0.797485369,0.00,1,1,0,1,1,1.018392408,1,1
Nrg4_chr9,-0.38,0.226119465,0.393074752,0.25,0.109112223,0.357301402,1.084882737,1.19E-05,7.30E-05,0.62660593,0.005173431,0.012071339
Nrgn_chr9,-0.80,0.000535884,0.001779899,0.83,0.064338278,0.244117811,1.473893085,0.000131594,0.00064479,1.626936413,3.34E-07,1.32E-06
Nrip1_chr16,-0.29,0.225349175,0.392058304,-0.51,0.012424053,0.070354532,-2.201654654,6.73E-05,0.000351297,-0.217641552,0.189202088,0.3180281
Nrip2_chr6,-0.60,1,1,2.55,0.002693121,0.02015072,2.906685898,7.63E-05,0.000394086,3.154852783,0.004432141,0.010445488
Nrip3_chr7,-0.52,0.042591825,0.093727606,1.27,1,1,1.436888405,0.75115786,1,1.789025396,0.120250798,0.213787374
Nrk_chrX,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Nrl_chr14,0.00,1,1,0.00,1,1,0,0.360245066,0.63009395,0,1,1
Nrm_chr17,-2.68,1.1846E-25,4.2617E-24,1.92,3.71E-07,7.74E-06,1.895665753,8.76E-11,1.26E-09,4.604850768,1.46E-45,9.20E-44
Nrn1_chr13,1.46,7.6930E-14,8.7855E-13,-0.44,0.049658537,0.201794791,-0.790814612,0.000110197,0.000548977,-1.900816241,1.49E-20,1.64E-19
Nrn1l_chr8,-0.92,0.064791637,0.135118238,1.06,0.522633026,0.956603254,3.006790489,3.91E-05,0.000214993,1.972615641,0.016580826,0.035521606
Nrp_chr12,-0.39,0.175502088,0.317842965,-0.51,0.175752143,0.490392579,0.765971166,0.10913223,0.240241833,-0.114900792,0.996223553,1
Nrp1_chr8,0.38,0.226850985,0.39413484,0.12,0.310896664,0.704901315,-0.493415694,0.011394839,0.034652716,-0.261055458,0.848372236,1
Nrp2_chr1,1.48,5.6445E-10,4.2757E-09,0.25,0.239311087,0.60151305,-0.572568593,0.128378736,0.275334239,-1.234042676,5.86E-07,2.26E-06
Nrsn1_chr13,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Nrsn2_chr2,-1.52,0.057495792,0.122191289,0.00,1,1,0,1,1,1.518798282,0.162781619,0.27925039
Nrtn_chr17,2.59,2.6186E-05,1.0887E-04,0.21,0.687648184,1,-0.105726772,0.06202097,0.148855452,-2.383320799,6.91E-06,2.39E-05
Nrxn1_chr17,0.91,0.003912204,0.011009884,0.47,0.507428565,0.944890722,0.760093963,0.076371753,0.177808009,-0.445911885,0.034531852,0.069296283
Nrxn2_chr19,2.00,6.63E-05,0.00025833,1.25,0.299500972,0.688875949,1.085080495,0.231834635,0.443351872,-0.755184065,0.003780968,0.009013201
Nrxn3_chr12,-1.78,0.002481335,0.007290294,2.07,0.511156631,0.946886966,3.631082012,0.001776328,0.006689657,3.85104185,0.000687401,0.001841098
Nsa2_chr13,0.07,0.894516452,1,0.35,0.0781801,0.282610423,0.492344262,0.248900896,0.469579662,0.285253511,0.058284511,0.111612725
Nsd1_chr13,0.12,0.693397809,0.951273027,0.24,1,1,-0.072286582,0.569970176,0.869452372,0.113763248,0.693958391,0.95131204
Nsdhl_chrX,2.07,1.5654E-11,1.4108E-10,0.20,0.019720863,0.100816732,-1.026246135,0.190072666,0.377384773,-1.860493755,5.01E-06,1.76E-05
Nsf_chr11,0.03,0.968557239,1,-0.38,0.052509164,0.209543383,-0.15169949,0.758168669,1,-0.407172379,0.057933332,0.111022564
Nsfl1c_chr2,0.76,6.60E-05,0.000257664,-0.41,0.50780964,0.945041367,-0.61504402,0.014023793,0.041470146,-1.173492377,3.68E-06,1.31E-05
Nsg1_chr5,-0.66,0.367962814,0.588902679,-0.38,0.689676258,1,0.214464809,0.371900956,0.645721197,0.286938511,0.652344859,0.904975784
Nsg2_chr11,-3.52,1.8009E-11,1.6109E-10,-1.04,0.891210511,1,-0.161409016,0.300775661,0.5449888,2.47414133,1.83E-09,8.84E-09
Nsl1_chr1,-2.64,4.3959E-13,4.6394E-12,3.16,2.80E-06,4.87E-05,3.581917222,8.81E-13,1.67E-11,5.798462866,1.76E-26,2.92E-25
Nsmaf_chr4,-0.44,0.017255,0.041941867,0.32,0.487579172,0.923725438,0.310381443,0.133756543,0.285131357,0.755240282,0.002255781,0.005587164
Nsmce1_chr7,-1.18,2.1484E-06,1.0469E-05,-0.17,0.518922942,0.95355143,0.132846503,0.837581997,1,1.015954656,9.22E-08,3.85E-07
Nsmce2_chr15,0.17,0.727654551,0.987370337,0.24,0.314789461,0.710331788,-0.046576871,0.865318555,1,0.073749971,0.176406782,0.29932348
Nsmce4a_chr7,-0.37,0.089633358,0.179313011,-0.07,0.864524386,1,0.320898019,0.850442492,1,0.301490729,0.127972473,0.225890952
Nsun2_chr13,0.35,0.056247239,0.119925305,-0.58,0.007365081,0.04613598,-0.424636551,0.016166966,0.04701205,-0.929144074,5.05E-06,1.77E-05
Nsun3_chr16,0.21,0.345968146,0.55944195,-1.36,0.000895114,0.008145046,-2.677656212,1.06E-06,7.96E-06,-1.578668534,2.35E-05,7.67E-05
Nsun4_chr4,1.08,1.1961E-09,8.7910E-09,-0.07,0.844975098,1,-0.487026429,0.00458211,0.015428606,-1.156196307,4.50E-10,2.29E-09
Nsun5_chr5,-0.37,0.097666896,0.193174006,0.15,0.747592943,1,1.113222976,6.76E-05,0.000352849,0.513429929,0.049360643,0.095890776
Nsun6_chr2,0.00,0.420252291,0.657156725,0.53,0.594489431,1,0.066275175,0.636544805,0.948259686,0.525544778,0.186278472,0.313681014
Nsun7_chr5,0.98,0.937550032,1,0.50,0.924368966,1,-0.505676161,1,1,-0.47453643,0.920142274,1
Nt5c_chr11,-0.24,0.199851074,0.354544959,-0.12,0.869091483,1,0.556605222,0.125729985,0.270377056,0.124953801,0.266878683,0.431912298
Nt5c1a_chr4,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Nt5c1b_chr12,1.59,0.091140796,0.181827805,1.59,0.158078094,0.45911745,1.800389781,0.091140796,0.205887992,0,1,1
Nt5c2_chr19,-0.11,0.17726559,0.320420961,0.16,0.707132718,1,-0.280937024,0.284844789,0.522106861,0.274917376,0.086244592,0.158934606
Nt5c3_chr6,-0.11,0.472311334,0.722376796,0.27,0.138909424,0.420698177,0.611167535,0.027456464,0.074101524,0.383619002,0.028296491,0.057735772
Nt5dc1_chr10,0.04,0.636748051,0.888236778,-0.36,0.594262131,1,0.414920299,0.366384008,0.63776229,-0.402709079,0.315378539,0.496739902
Nt5dc2_chr14,0.03,0.592173966,0.83759239,0.42,0.488225654,0.924648699,0.465470543,0.655457693,0.970244381,0.389476056,0.222329379,0.367701022
Nt5dc3_chr10,0.30,0.077743706,0.158401131,-0.16,0.079034837,0.2847113,-0.294065563,0.223116347,0.429987886,-0.459062797,0.000475587,0.001303684
Nt5e_chr9,-0.57,0.007101961,0.018908189,-0.49,0.02047441,0.103798187,-0.864159256,0.000277119,0.001269012,0.079937976,0.748923671,1
Nt5m_chr11,0.26,0.652112829,0.904836238,-0.52,0.102137869,0.341284479,0.075269117,0.795187698,1,-0.778176172,0.037322735,0.074425724
Ntan1_chr16,-0.21,0.193777578,0.345034547,-0.16,0.674920959,1,0.107899993,0.989954358,1,0.048907634,0.383684959,0.583868416
Ntf3_chr6,-2.07,2.7289E-05,1.1317E-04,0.49,0.0321701,0.146969359,1.020914435,0.028859606,0.077349468,2.551227358,1.44E-09,7.02E-09
Ntf5_chr7,-3.35,1.89E-07,1.07E-06,-1.08,1,1,-0.115702548,1,1,2.269054235,7.95E-07,3.02E-06
Nthl1_chr17,0.69,0.026985285,0.062457726,-0.60,0.037070897,0.162754329,-0.466334196,0.033178466,0.087284078,-1.28611435,2.26E-05,7.39E-05
Ntm_chr9,3.34,1.69E-07,9.58E-07,-0.11,0.566471359,0.992745222,1.035447292,0.364834272,0.635571121,-3.447497562,7.47E-08,3.15E-07
Ntn1_chr11,0.81,0.09632907,0.190867728,-0.33,0.253159212,0.624785656,-0.091085526,0.312124434,0.561597431,-1.144681951,0.005443857,0.012654055
Ntn3_chr17,2.34,1.1990E-14,1.4791E-13,-1.55,1.13E-05,0.000172737,-1.758843392,3.91E-07,3.16E-06,-3.891936565,7.15E-30,1.53E-28
Ntn4_chr10,-1.10,0.21843366,0.382604631,-1.52,0.003130178,0.022834743,-1.582483031,0.062690906,0.150277118,-0.420269558,0.076262577,0.142276816
Ntn5_chr7,-1.60,3.39E-05,0.0001387,0.86,1,1,0,1,1,2.460040591,0.000252647,0.000722115
Ntng1_chr3,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Ntng2_chr2,-0.43,0.051631254,0.111247019,0.50,0.171676451,0.483490152,0.938376563,3.01E-05,0.000170145,0.939175294,0.001300917,0.003345874
Ntpcr_chr8,-0.49,0.001963942,0.005876403,0.17,0.430052654,0.853713478,-0.039234034,0.67419327,0.992540959,0.660964783,0.000121676,0.00036379
Ntrk1_chr3,2.25,4.0096E-10,3.0927E-09,2.10,1.16E-05,0.000176131,-1.07632882,0.025070846,0.068586989,-0.150482953,0.069991502,0.131613698
Ntrk2_chr13,0.32,0.791947938,1,-0.06,0.148110293,0.439939061,-1.476482182,0.018310175,0.052340524,-0.387378837,0.236756433,0.388739543
Ntrk3_chr7,-3.79,7.81E-12,7.27E-11,-0.11,0.589047081,1,-0.159515668,0.539898338,0.854950029,3.68228035,1.12E-11,6.54E-11
Nts_chr10,0.16,0.359073906,0.577244771,-0.64,0.652659633,1,2.149866775,0.002213322,0.008135,-0.805236774,0.763008365,1
Ntsr1_chr2,-3.03,1.67E-06,8.27E-06,0.00,1,1,0,1,1,3.027559247,0.000258526,0.000736925
Ntsr2_chr12,-1.02,0.540330826,0.797485369,0.00,1,1,0,1,1,1.018392408,1,1
Nuak1_chr10,1.18,6.2779E-03,1.6957E-02,-0.21,0.208466337,0.549416836,-1.308620241,0.000965835,0.003878025,-1.393843708,8.85E-05,0.000269788
Nuak2_chr1,0.05,0.831729621,1,0.18,0.93471462,1,0.293204585,0.079307071,0.183483956,0.127501042,0.902085125,1
Nub1_chr5,-0.24,0.176432346,0.319262455,-0.16,0.196618517,0.527706932,-0.374528797,0.09888297,0.220901685,0.082915701,0.95730315,1
Nubp1_chr16,-0.82,9.74E-05,0.000369658,-0.30,0.474788445,0.909577402,-0.257609833,0.140407786,0.295997547,0.52155727,0.001514354,0.003858522
Nubp2_chr17,0.41,0.075119884,0.153813754,-0.57,0.095323311,0.325016688,-0.738683884,0.000428154,0.001876708,-0.977690042,0.000601687,0.001626143
Nubpl_chr12,-0.31,0.074408032,0.152584722,-0.81,0.000393388,0.003981853,-0.054618263,0.716696992,1,-0.506814761,0.070039474,0.131681691
Nucb1_chr7,1.01,1.1060E-06,5.6221E-06,-0.37,0.190716214,0.516458263,-1.23666893,1.71E-08,1.74E-07,-1.381934634,8.48E-10,4.24E-09
Nucb2_chr7,-0.68,0.002690268,0.007833833,0.48,0.050890029,0.20527887,1.419979792,3.60E-06,2.44E-05,1.15181436,1.43E-06,5.29E-06
Nucks1_chr1,-0.49,0.014459875,0.0358336,0.30,0.525996751,0.959073626,0.238460656,0.642400598,0.954625609,0.787457637,0.002142421,0.00532854
Nudc_chr4,-0.33,0.048688078,0.105600646,-0.59,0.007934687,0.049030077,-0.239557098,0.164620024,0.33559055,-0.261054423,0.489107558,0.721522131
Nudcd1_chr15,0.25,0.314235542,0.518151979,-0.40,0.124219416,0.389819353,0.089715498,0.959506045,1,-0.653717334,0.011241811,0.024808632
Nudcd2_chr11,-0.60,0.017764172,0.043057923,-0.37,0.534784973,0.967451948,0.971185761,0.002546826,0.009213612,0.234727172,0.081042917,0.150314237
Nudcd3_chr11,0.14,0.61500626,0.863923204,0.03,0.625732726,1,-0.443866872,0.032969535,0.086792773,-0.100831077,0.322635778,0.50662537
Nudt1_chr5,0.44,0.053682056,0.115078957,-0.57,0.146523637,0.436901377,-0.5852823,0.001119724,0.004421816,-1.006499732,0.000779395,0.002071968
Nudt10_chrX,0.73,0.005716288,0.015584998,0.94,0.370202042,0.775113701,0.712495462,0.403986112,0.691867151,0.208629469,0.202813916,0.338168704
Nudt11_chrX,1.69,0.027393482,0.063270177,0.07,0.402062038,0.817991925,-1.165609184,0.000250734,0.001158461,-1.621623104,0.002601025,0.006377025
Nudt12_chr17,2.61,1.5648E-13,1.7334E-12,-0.90,0.02277865,0.11248955,-3.116587016,8.30E-11,1.20E-09,-3.512127899,3.28E-20,3.53E-19
Nudt13_chr14,0.43,0.061650588,0.129664121,0.10,0.730438504,1,0.233562499,0.154175141,0.318406673,-0.322418914,0.133782794,0.234933665
Nudt14_chr12,-0.36,0.220738095,0.386030049,-0.28,0.832105477,1,0.086403434,0.874421463,1,0.085587037,0.315158723,0.496460972
Nudt15_chr14,-0.85,0.030584315,0.069773189,-1.00,0.001114042,0.0097651,-1.382991512,0.004030578,0.013791317,-0.151927655,0.243880423,0.398728928
Nudt16_chr9,-1.45,6.5404E-11,5.5032E-10,-0.52,0.165909631,0.472250989,-0.495769424,0.208101972,0.405729013,0.927173889,3.12E-07,1.24E-06
Nudt16l1_chr16,-1.08,1.0703E-08,7.0303E-08,-0.46,0.171322357,0.482843995,-0.216284684,0.528911479,0.844873917,0.614164021,1.30E-05,4.37E-05
Nudt17_chr3,-1.09,9.7088E-03,2.5023E-02,-0.06,0.490676896,0.927477109,0.782032379,0.116917569,0.254392315,1.02357729,0.001634591,0.004145793
Nudt18_chr14,0.17,0.627945956,0.878542172,-0.07,0.753626048,1,-0.270576577,0.479041762,0.792710545,-0.241728877,0.870662447,1
Nudt19_chr7,0.80,0.001837962,0.005527205,-0.35,0.078085099,0.282399269,0.081023618,0.12580134,0.270480447,-1.14757566,1.38E-06,5.10E-06
Nudt2_chr4,0.57,0.147692965,0.275627119,-0.09,0.523075802,0.956820461,0.317331005,0.494657185,0.813346043,-0.661965743,0.42295962,0.635807346
Nudt21_chr8,-1.54,6.8348E-09,4.6001E-08,-0.19,0.235938377,0.596015742,1.292625085,0.003723668,0.012860462,1.35612595,3.94E-06,1.40E-05
Nudt22_chr19,0.21,0.647468509,0.899842612,-0.15,0.920105738,1,-0.049828472,0.555051668,0.863744335,-0.362091176,0.726277068,0.987923856
Nudt3_chr17,-0.38,0.007525206,0.019909585,0.28,0.127825801,0.397786771,0.861146211,3.04E-06,2.09E-05,0.656849913,3.13E-05,0.00010056
Nudt4_chr10,0.76,6.52E-05,0.00025463,0.14,0.471176851,0.90489629,-0.092314824,0.160719048,0.32914264,-0.620595723,0.001041297,0.002711153
Nudt5_chr2,-0.25,0.101998257,0.200443049,-0.14,0.430331798,0.854048761,0.248807434,0.455967009,0.760981923,0.109238888,0.40924733,0.617952566
Nudt6_chr3,0.52,0.092932463,0.184878484,-0.09,0.956387695,1,0.121908176,0.699420031,1,-0.615780267,0.107066011,0.192481945
Nudt7_chr8,4.66,6.2535E-44,7.7718E-42,-0.79,0.197997588,0.530061838,0.336453767,0.624428492,0.934010309,-5.455540348,4.12E-49,3.27E-47
Nudt8_chr19,0.24,0.192306517,0.342914406,-0.40,0.445949222,0.87414473,-0.18701862,0.167126106,0.339401614,-0.640182361,0.039529267,0.078377285
Nudt9_chr5,0.94,1.56E-05,6.70E-05,-0.17,0.994500403,1,-0.606510564,0.00900945,0.028070736,-1.113453363,1.60E-05,5.31E-05
Nuf2_chr1,-2.61,1.3093E-16,2.0205E-15,2.02,0.000363565,0.003705807,1.1715919,0.000940091,0.003788208,4.633002687,3.30E-27,5.85E-26
Nufip1_chr14,-0.52,0.008114771,0.021309297,0.24,0.07974779,0.286583986,0.515518601,0.045221468,0.113517706,0.756554154,1.34E-05,4.50E-05
Nufip2_chr11,-0.60,0.024807792,0.057995483,0.89,0.003263482,0.023627206,1.482042251,5.14E-10,6.60E-09,1.495541053,2.89E-07,1.15E-06
Numa1_chr7,-0.08,0.531605646,0.793574243,-0.07,0.182112881,0.501873989,-0.121411967,0.627145981,0.937290843,0.004787001,0.477690016,0.707057893
Numb_chr12,1.44,4.0495E-03,1.1356E-02,-0.49,0.061320278,0.235356444,-3.180573823,2.75E-06,1.90E-05,-1.930194212,3.80E-06,1.35E-05
Numbl_chr7,-0.78,0.001783921,0.005382799,1.27,0.003230706,0.02344835,0.990055216,0.000360518,0.001608454,2.056453069,7.90E-09,3.64E-08
Nup107_chr10,-2.02,3.6991E-20,8.0872E-19,0.42,0.765737349,1,0.229707807,0.591759348,0.895052864,2.442781201,1.36E-20,1.50E-19
Nup133_chr8,-0.49,0.037966783,0.084572802,-0.38,0.302669097,0.694198146,-0.655718939,0.000711421,0.00296351,0.118748827,0.305113804,0.482468858
Nup153_chr13,-1.01,3.7386E-05,1.5139E-04,-0.01,0.100227705,0.337164387,0.417250733,0.607223349,0.91315327,1.004968083,0.012776813,0.027930875
Nup155_chr15,-0.90,0.000128639,0.000479176,-0.02,0.517319007,0.95238078,-0.137257481,0.472298273,0.784015133,0.87315236,0.001566263,0.00398249
Nup160_chr2,-1.15,3.3985E-07,1.8497E-06,0.15,0.873367196,1,0.616979856,0.214398731,0.415807936,1.300482843,1.11E-06,4.14E-06
Nup188_chr2,-0.21,0.076088216,0.155577173,0.14,0.714871013,1,-0.379590885,0.356771291,0.625291464,0.345112144,0.16598531,0.283785669
Nup205_chr6,-0.90,1.34E-05,5.80E-05,-0.45,0.032278593,0.147349148,-0.339853266,0.127981164,0.274532237,0.452031036,0.028126121,0.057408313
Nup210_chr6,-1.20,4.0536E-06,1.9066E-05,0.25,0.255080532,0.627198766,0.475688067,0.006584065,0.021284416,1.445871318,1.40E-08,6.30E-08
Nup210l_chr3,-1.39,1.5653E-03,4.7778E-03,2.83,2.76E-05,0.000382487,2.30749797,0.000115681,0.000573593,4.225393955,2.88E-11,1.63E-10
Nup214_chr2,-0.47,0.005061817,0.013962803,0.24,0.643368637,1,-0.047471911,0.627853211,0.938047282,0.712407513,0.001207122,0.003117402
Nup35_chr2,-0.94,0.001289919,0.003999694,-0.62,0.201794549,0.536825243,1.303714828,0.000203867,0.000958695,0.315239085,0.057987881,0.111117939
Nup37_chr10,-0.69,0.001348398,0.004165462,-0.25,0.179433785,0.496433472,-0.075583685,0.281654719,0.517484044,0.442407722,0.069099273,0.130156193
Nup43_chr10,-0.72,0.002297581,0.006794221,-0.21,0.748826036,1,0.494331026,0.244315424,0.462519587,0.501926587,0.007306793,0.016648027
Nup50_chr15,0.14,0.846637692,1,-0.01,0.525585176,0.958835034,-0.330613151,0.023105668,0.063978997,-0.147300376,0.407498669,0.6155521
Nup54_chr5,0.21,0.241890381,0.415670841,0.02,0.987902404,1,0.781396051,0.045742428,0.11461499,-0.18557332,0.25277224,0.411547349
Nup62_chr7,-1.05,1.2717E-08,8.2972E-08,-0.96,7.50E-08,1.77E-06,-0.813320326,2.90E-05,0.00016477,0.089934823,0.769271753,1
Nup62cl_chrX,3.73,1.2429E-04,4.6439E-04,0.78,0.060989211,0.234402299,-2.950450424,5.00E-06,3.30E-05,-2.950450424,1.55E-06,5.73E-06
Nup62-il4i1_chr7,-1.79,4.6225E-15,5.9804E-14,-1.34,1.01E-10,3.96E-09,-1.641316089,1.59E-12,2.92E-11,0.455682571,0.15672484,0.27048012
